time,S1,S2,S3
   0.00000,   0.96688,   0.03740,   0.08319
   0.64516,   0.81817,   0.30633,   0.04738
   1.29032,   0.53004,   0.33964,   0.01755
   1.93548,   0.42379,   0.47518,   0.09507
   2.58065,   0.31710,   0.51775,   0.11057
   3.22581,   0.09300,   0.68242,   0.16880
   3.87097,   0.20113,   0.59063,   0.24695
   4.51613,   0.15633,   0.49580,   0.37178
   5.16129,   0.10789,   0.48231,   0.40071
   5.80645,   0.06974,   0.48697,   0.39930
   6.45161,   0.12772,   0.39214,   0.43379
   7.09677,   0.11662,   0.44367,   0.49733
   7.74194,   0.02937,   0.49095,   0.57712
   8.38710,   0.09853,   0.30755,   0.58796
   9.03226,   0.07344,   0.37688,   0.59948
   9.67742,   0.05216,   0.31344,   0.65162
  10.32258,   0.02329,   0.30895,   0.67078
  10.96774,   0.07170,   0.23379,   0.71536
  11.61290,   0.03804,   0.27820,   0.72493
  12.25806,   0.00288,   0.16680,   0.74482
  12.90323,   0.03614,   0.21437,   0.87787
  13.54839,   0.03306,   0.17247,   0.78667
  14.19355,   0.04159,   0.22420,   0.85819
  14.83871,   0.08623,   0.12881,   0.88928
  15.48387,   0.00277,   0.05934,   0.80007
  16.12903,   0.04500,   0.11743,   0.98936
  16.77419,   0.03012,   0.06854,   0.85939
  17.41935,   0.02806,   0.18326,   0.86238
  18.06452,   0.11064,   0.13585,   0.90167
  18.70968,   0.09358,   0.06800,   0.99613
  19.35484,   0.00958,   0.17746,   0.92127
  20.00000,   0.02416,   0.10478,   0.94887
