time,S1,S2,S3
   0.00000,   0.99338,   0.00188,   0.01477
   0.64516,   0.76205,   0.23239,   0.01966
   1.29032,   0.55364,   0.39244,   0.03926
   1.93548,   0.41960,   0.48005,   0.10633
   2.58065,   0.31389,   0.54883,   0.14406
   3.22581,   0.20595,   0.57811,   0.19025
   3.87097,   0.18037,   0.56620,   0.21885
   4.51613,   0.13610,   0.57281,   0.32027
   5.16129,   0.10000,   0.55793,   0.36440
   5.80645,   0.07261,   0.50642,   0.40361
   6.45161,   0.06942,   0.48383,   0.45908
   7.09677,   0.02145,   0.44957,   0.49768
   7.74194,   0.04581,   0.44541,   0.54098
   8.38710,   0.02269,   0.39469,   0.58491
   9.03226,   0.00959,   0.34732,   0.63523
   9.67742,   0.02796,   0.31957,   0.66380
  10.32258,   0.02086,   0.29830,   0.68401
  10.96774,   0.01505,   0.25959,   0.70938
  11.61290,   0.00811,   0.25228,   0.73875
  12.25806,   0.01692,   0.24597,   0.76976
  12.90323,   0.00954,   0.19515,   0.78553
  13.54839,   0.00202,   0.19632,   0.80014
  14.19355,   0.00831,   0.17219,   0.82171
  14.83871,   0.00742,   0.16098,   0.83563
  15.48387,   0.00892,   0.13664,   0.85369
  16.12903,   0.01770,   0.13711,   0.86389
  16.77419,   0.00089,   0.10723,   0.87537
  17.41935,   0.00925,   0.10986,   0.90879
  18.06452,   0.00621,   0.09525,   0.89673
  18.70968,   0.00575,   0.09996,   0.91664
  19.35484,   0.02223,   0.07577,   0.92794
  20.00000,   0.01879,   0.05724,   0.91471
