time,S1,S2,S3
   0.00000,   0.98675,   0.00377,   0.02955
   0.64516,   0.77608,   0.22518,   0.02695
   1.29032,   0.54774,   0.38813,   0.03481
   1.93548,   0.42065,   0.46588,   0.12541
   2.58065,   0.31469,   0.54875,   0.15012
   3.22581,   0.17772,   0.58291,   0.18800
   3.87097,   0.18556,   0.55587,   0.18942
   4.51613,   0.14116,   0.58029,   0.33691
   5.16129,   0.10197,   0.57127,   0.37140
   5.80645,   0.07189,   0.49500,   0.39837
   6.45161,   0.08400,   0.48002,   0.46064
   7.09677,   0.00188,   0.44334,   0.49220
   7.74194,   0.06093,   0.46724,   0.53624
   8.38710,   0.02243,   0.39751,   0.58464
   9.03226,   0.00201,   0.33342,   0.64886
   9.67742,   0.04307,   0.30711,   0.67246
  10.32258,   0.03211,   0.29213,   0.68210
  10.96774,   0.02291,   0.24049,   0.70463
  11.61290,   0.01085,   0.24986,   0.73758
  12.25806,   0.02983,   0.25944,   0.77604
  12.90323,   0.01607,   0.17829,   0.78609
  13.54839,   0.00179,   0.19945,   0.79572
  14.19355,   0.01493,   0.16847,   0.82101
  14.83871,   0.01358,   0.16187,   0.83260
  15.48387,   0.01691,   0.12766,   0.85393
  16.12903,   0.03469,   0.14181,   0.86089
  16.77419,   0.00126,   0.09409,   0.87164
  17.41935,   0.01811,   0.11033,   0.92737
  18.06452,   0.01213,   0.09111,   0.89315
  18.70968,   0.01129,   0.10962,   0.92379
  19.35484,   0.04430,   0.06951,   0.93806
  20.00000,   0.03747,   0.03998,   0.90403
